visit	feed	layout	min	max	mean	median	95th
0	1	pairs	2	148	32.5769	31.0	58.0
0	1	turtle	6	161	50.2588	48.0	83.0
0	2	pairs	4	100	25.8409	25.0	43.0
0	2	turtle	3	114	32.0874	30.0	55.0
0	4	pairs	3	78	20.992	20.0	34.0
0	4	turtle	2	83	21.8187	21.0	38.0
0	8	pairs	2	67	17.3824	17.0	28.0
0	8	turtle	3	70	15.8441	15.0	28.0
0	16	pairs	2	98	15.1381	14.0	25.0
0	16	turtle	1	135	12.4612	11.0	24.0
1	1	pairs	2	54	14.4241	14.0	27.0
1	1	turtle	2	72	23.2803	22.0	41.0
1	2	pairs	2	37	10.8491	10.0	19.0
1	2	turtle	1	49	14.4671	14.0	26.0
1	4	pairs	2	38	8.3628	8.0	15.0
1	4	turtle	1	34	9.5113	9.0	17.0
1	8	pairs	2	30	6.6246	6.0	12.0
1	8	turtle	1	41	6.5364	6.0	13.0
1	16	pairs	2	41	5.4611	5.0	10.0
1	16	turtle	1	34	4.6735	4.0	10.0
3	1	pairs	2	30	7.9658	7.0	15.0
3	1	turtle	2	45	12.3577	12.0	22.0
3	2	pairs	2	48	5.9558	6.0	11.0
3	2	turtle	1	29	7.9117	7.0	14.0
3	4	pairs	2	31	4.6477	4.0	8.0
3	4	turtle	1	28	5.1711	5.0	10.0
3	8	pairs	2	20	3.7671	4.0	6.0
3	8	turtle	1	25	3.5764	3.0	7.0
3	16	pairs	2	16	3.1845	3.0	6.0
3	16	turtle	1	22	2.6812	2.0	6.0
5	1	pairs	2	21	5.3095	5.0	10.0
5	1	turtle	2	30	7.87	7.0	14.0
5	2	pairs	2	14	4.0765	4.0	7.0
5	2	turtle	1	27	5.1074	5.0	10.0
5	4	pairs	2	14	3.2345	3.0	5.0
5	4	turtle	1	19	3.4476	3.0	7.0
5	8	pairs	2	17	2.7506	3.0	5.0
5	8	turtle	1	26	2.4934	2.0	5.0
5	16	pairs	2	12	2.4767	2.0	4.0
5	16	turtle	1	18	2.0685	2.0	5.0
